"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"DIGI-KEY_PART_NUMBER_4";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"PURCHASE-URL";"SPICEPREFIX";"VALUE";
"1";"";"CONN_15";"1X15";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_15";"1X15";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"X";"";
"4";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED2, LED3, LED7, LED8";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13";"0.1uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"C3, C6, C7, C8, C9, C10, C11, C15, C24, C25, C27, C28, C29";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"1";"0.47uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"C14";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"1";"100";"0.05OHM-2512-3W-1%";"2512";"R47";"0.05Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-13771";"";"";"0.05";
"4";"100K";"R-US_M0805";"M0805";"R26, R27, R28, R35";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100pF";"2.2UF-0805-25V-(+80/-20%)";"0805";"C13";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"10";"10K";"R-US_M0805";"M0805";"R2, R5, R8, R16, R23, R24, R25, R29, R30, R31";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10uF";"10UF-1210-50V-20%";"1210";"C16, C17, C18";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"10uF";
"1";"18mOhms";"0.05OHM-2512-3W-1%";"2512";"R38";"0.05Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-13771";"";"";"0.05";
"4";"1uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"C2, C22, C23, C26";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"4";"220";"R-US_M0805";"M0805";"R3, R6, R9, R17";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
